timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:08:59Z,BABY,macro,Tiêu cực,4.6900
2026-05-03T15:08:59Z,BABY,social,Tiêu cực,5.6100
2026-05-03T15:08:59Z,BABY,funding,Tiêu cực,3.9300
2026-05-03T15:09:00Z,BTC,news,Tích cực,7.4200
2026-05-03T15:09:00Z,BTC,macro,Tích cực,4.6900
2026-05-03T15:09:00Z,BTC,social,Tích cực,5.9500
2026-05-03T15:09:00Z,BTC,funding,Tích cực,5.0200
2026-05-03T15:09:03Z,CHIP,macro,Hoàn toàn tiêu cực,4.6900
2026-05-03T15:09:03Z,CHIP,social,Hoàn toàn tiêu cực,5.6100
2026-05-03T15:09:03Z,CHIP,funding,Hoàn toàn tiêu cực,1.2200
2026-05-03T15:09:05Z,TRX,news,Hoàn toàn tích cực,8.9123
2026-05-03T15:09:05Z,TRX,macro,Hoàn toàn tích cực,6.4900
2026-05-03T15:09:05Z,TRX,social,Hoàn toàn tích cực,5.8400
2026-05-03T15:09:05Z,TRX,funding,Hoàn toàn tích cực,5.2500
2026-05-03T15:09:08Z,DOGE,news,Tích cực,6.3143
2026-05-03T15:09:08Z,DOGE,macro,Tích cực,6.4900
2026-05-03T15:09:08Z,DOGE,social,Tích cực,5.6100
2026-05-03T15:09:08Z,DOGE,funding,Tích cực,5.1400
2026-05-03T15:09:10Z,XRP,news,Tích cực,7.7391
2026-05-03T15:09:10Z,XRP,macro,Tích cực,6.4900
2026-05-03T15:09:10Z,XRP,social,Tích cực,5.6100
2026-05-03T15:09:10Z,XRP,funding,Tích cực,5.2100
2026-05-03T15:09:13Z,BNB,news,Tích cực,5.8438
2026-05-03T15:09:13Z,BNB,macro,Tích cực,6.4900
2026-05-03T15:09:13Z,BNB,social,Tích cực,5.5800
2026-05-03T15:09:13Z,BNB,funding,Tích cực,5.1300
2026-05-03T15:09:15Z,TAO,news,Hoàn toàn tích cực,9.7200
2026-05-03T15:09:15Z,TAO,macro,Hoàn toàn tích cực,6.4900
